0.0232931,46,18
0.0232925,46,19
0.0232919,46,20
0.0324881,47,0
0.0290703,47,1
0.0329177,47,2
0.0327983,47,3
0.0327426,47,4
0.0327054,47,5
0.032679,47,6
0.0326593,47,7
0.0326442,47,8
0.0326323,47,9
0.0326226,47,10
0.0326145,47,11
0.0326078,47,12
0.0326021,47,13
0.0325972,47,14
0.0325929,47,15
0.0325891,47,16
0.0325858,47,17
0.0325828,47,18
0.0325802,47,19
0.0325778,47,20
0.0806617,48,0
0.0296672,48,1
0.0294123,48,2
0.0272617,48,3
0.0293111,48,4
0.029072,48,5
0.0291214,48,6
0.0291717,48,7
0.0291056,48,8
0.0294229,48,9
0.0295308,48,10
0.029531,48,11
0.0295351,48,12
0.0295536,48,13
0.0295683,48,14
0.0295396,48,15
0.0295529,48,16
0.0295418,48,17
0.0296334,48,18
0.0295424,48,19
0.0294563,48,20
0.024993,49,0
0.0362801,49,1
0.0361707,49,2
0.0361328,49,3
0.0361551,49,4
0.0361556,49,5
0.0361522,49,6
0.0361495,49,7
0.0360999,49,8
0.0361744,49,9
0.0361768,49,10
0.0361398,49,11
0.0361894,49,12
0.03617,49,13
0.0362072,49,14
0.0362041,49,15
0.0362002,49,16
0.0361956,49,17
0.0361454,49,18
0.0361375,49,19
0.0361327,49,20
0.188224,0,0
0.0558252,0,1
0.0199276,0,2
0.0195383,0,3
0.0282577,0,4
0.00695831,0,5
0.006957,0,6
0.00695816,0,7
0.00695887,0,8
0.00695932,0,9
0.00695962,0,10
0.00695983,0,11
0.00695997,0,12
0.00696007,0,13
0.00696015,0,14
0.0069602,0,15
0.00696024,0,16
0.00696026,0,17
0.00696029,0,18
0.0069603,0,19
0.00696031,0,20
0.0516509,1,0
0.0614537,1,1
0.0631155,1,2
0.0305526,1,3
0.00817295,1,4
0.00817652,1,5
0.00818356,1,6
0.0081883,1,7
0.00819161,1,8
0.00819398,1,9
0.00819574,1,10
0.00819706,1,11
0.00819808,1,12
0.00819888,1,13
0.00819951,1,14
0.00820002,1,15
0.00820044,1,16
0.00820078,1,17
0.00820106,1,18
0.0082013,1,19
0.0082015,1,20
0.0116583,2,0
0.0260251,2,1
0.0259225,2,2
0.0259262,2,3
0.0259279,2,4
0.0259284,2,5
0.0259283,2,6
0.0259278,2,7
0.0259273,2,8
0.0259267,2,9
0.025926,2,10
0.0259255,2,11
0.0259155,2,12
0.025915,2,13
0.0259145,2,14
0.025914,2,15
0.0259136,2,16
0.0259133,2,17
0.0259129,2,18
0.0259126,2,19
0.0259123,2,20
0.0498201,3,0
0.0129902,3,1
0.0120995,3,2
0.012328,3,3
0.0127762,3,4
0.0127776,3,5
0.0127775,3,6
0.012777,3,7
0.0127764,3,8
0.0127757,3,9
0.012775,3,10
0.0127743,3,11
0.0127737,3,12
0.0127732,3,13
0.0127726,3,14
0.0127721,3,15
0.0127717,3,16
0.0127713,3,17
0.0127717,3,18
0.0127713,3,19
0.0127712,3,20
0.0356177,4,0
0.0137037,4,1
0.013549,4,2
0.0136229,4,3
0.0136146,4,4
0.0136149,4,5
0.0136141,4,6
0.0136199,4,7
0.0136182,4,8
0.013607,4,9
0.0136058,4,10
0.013615,4,11
0.0136139,4,12
0.0136012,4,13
0.0135988,4,14
0.0135985,4,15
0.0135983,4,16
0.013598,4,17
0.0135978,4,18
0.0135976,4,19
0.0135973,4,20
0.0249164,5,0
0.00901777,5,1
0.00877606,5,2
0.0085192,5,3
0.00863671,5,4
0.00870417,5,5
0.00874716,5,6
0.00840836,5,7
0.0083831,5,8
0.00829326,5,9
0.00831561,5,10
0.00835404,5,11
0.00826725,5,12
0.00827532,5,13
0.00828248,5,14
0.00828848,5,15
0.0105534,5,16
0.0105739,5,17
0.0105838,5,18
0.0105925,5,19
0.0106003,5,20
0.0595945,6,0
0.0149393,6,1
0.0147981,6,2
0.0147957,6,3
0.0148024,6,4
0.0148009,6,5
0.0148005,6,6
0.0147967,6,7
0.0147943,6,8
0.014792,6,9
0.0147916,6,10
0.014818,6,11
0.0148155,6,12
0.0148,6,13
0.0147777,6,14
0.0147668,6,15
0.0147659,6,16
0.014765,6,17
0.0147642,6,18
0.0147634,6,19
0.0147628,6,20
0.0298091,7,0
0.0121265,7,1
0.00982027,7,2
0.00887978,7,3
0.00907555,7,4
0.0113404,7,5
0.0113808,7,6
0.0114544,7,7
0.0115874,7,8
0.0116079,7,9
0.0116176,7,10
0.012648,7,11
0.0126501,7,12
0.0126513,7,13
0.0126522,7,14
0.0126529,7,15
0.0126535,7,16
0.0126541,7,17
0.0126545,7,18
0.0126549,7,19
0.0126552,7,20
0.0271523,8,0
0.0192997,8,1
0.019012,8,2
0.0192074,8,3
0.0190055,8,4
0.019015,8,5
0.0190184,8,6
0.019029,8,7
0.0190367,8,8
0.0190266,8,9
0.0179222,8,10
0.0182405,8,11
0.0182978,8,12
0.0191104,8,13
0.0191139,8,14
0.019116,8,15
0.0191179,8,16
0.0191195,8,17
0.0191209,8,18
0.0191221,8,19
0.0191232,8,20
0.0363622,9,0
0.0168879,9,1
0.0151607,9,2
0.0157863,9,3
0.0159087,9,4
0.0161113,9,5
0.0161654,9,6
0.0162601,9,7
0.0164968,9,8
0.0165052,9,9
0.016512,9,10
0.0165307,9,11
0.0180829,9,12
0.0180828,9,13
0.0180831,9,14
0.0180821,9,15
0.0180836,9,16
0.0180839,9,17
0.018084,9,18
0.0180842,9,19
0.0180844,9,20
0.0607044,10,0
0.0166007,10,1
0.0139623,10,2
0.0145895,10,3
0.0146437,10,4
0.0147048,10,5
0.014772,10,6
0.0163974,10,7
0.0163764,10,8
0.0163816,10,9
0.016381,10,10
0.0163804,10,11
0.0163801,10,12
0.0163796,10,13
0.016379,10,14
0.0163789,10,15
0.0163788,10,16
0.0163789,10,17
0.016379,10,18
0.0163789,10,19
0.0163791,10,20
0.0349792,11,0
0.015447,11,1
0.0055856,11,2
0.00691658,11,3
0.00838234,11,4
0.0122159,11,5
0.0123043,11,6
0.012474,11,7
0.0144035,11,8
0.0150466,11,9
0.0152683,11,10
0.0150898,11,11
0.0150883,11,12
0.0152691,11,13
0.0152762,11,14
0.0152577,11,15
0.0152819,11,16
0.0152975,11,17
0.0152999,11,18
0.0152988,11,19
0.0152992,11,20
0.0431416,12,0
0.0175546,12,1
0.00270629,12,2
0.0042524,12,3
0.0107645,12,4
0.0107101,12,5
0.0119861,12,6
0.0129631,12,7
0.0138845,12,8
0.0144346,12,9
0.0151561,12,10
0.0151865,12,11
0.0150357,12,12
0.0173014,12,13
0.0173187,12,14
0.0173227,12,15
0.0173261,12,16
0.017329,12,17
0.0173316,12,18
0.0173339,12,19
0.017336,12,20
0.014023,13,0
0.0141224,13,1
0.0120312,13,2
0.0125243,13,3
0.0134927,13,4
0.0138796,13,5
0.0141367,13,6
0.0142415,13,7
0.0143843,13,8
0.0144481,13,9
0.014724,13,10
0.0147685,13,11
0.0148549,13,12
0.0148905,13,13
0.0149213,13,14
0.0149484,13,15
0.0148909,13,16
0.0149147,13,17
0.0149363,13,18
0.0149559,13,19
0.0165333,13,20
0.0464978,14,0
0.0243213,14,1
0.0100301,14,2
0.0205324,14,3
0.0210113,14,4
0.0242723,14,5
0.0214343,14,6
0.0215397,14,7
0.0215924,14,8
0.021675,14,9
0.0217369,14,10
0.0220223,14,11
0.0220597,14,12
0.0221661,14,13
0.0220852,14,14
0.0243732,14,15
0.0243777,14,16
0.0243828,14,17
0.0243873,14,18
0.0243913,14,19
0.0243949,14,20
0.057313,15,0
0.0165549,15,1
0.0138545,15,2
0.0150962,15,3
0.0153701,15,4
0.0155643,15,5
0.0157265,15,6
0.0158056,15,7
0.0158646,15,8
0.0159097,15,9
0.0159449,15,10
0.016052,15,11
0.0162726,15,12
0.0162936,15,13
0.016311,15,14
0.0163258,15,15
0.0163996,15,16
0.0163443,15,17
0.0187707,15,18
0.0187794,15,19
0.0187846,15,20
0.0179456,16,0
0.0212844,16,1
0.021194,16,2
0.0215376,16,3
0.0216344,16,4
0.0217086,16,5
0.0217436,16,6
0.0217981,16,7
0.0218189,16,8
0.0218423,16,9
0.0218609,16,10
0.0218685,16,11
0.0227463,16,12
0.0232764,16,13
0.0232743,16,14
0.0212683,16,15
0.0212726,16,16
0.0212788,16,17
0.023143,16,18
0.0231438,16,19
0.0231443,16,20
0.0365869,17,0
0.0193451,17,1
0.0150955,17,2
0.014506,17,3
0.0153128,17,4
0.0154272,17,5
0.0146636,17,6
